Ax,Ay,Az,Gx,Gy,Gz,Label
0.004,-0.000,1.029,0.525,-2.266,1.383,Idle
0.003,0.003,1.037,0.543,-2.231,1.199,Idle
0.002,-0.005,1.011,0.507,-2.301,1.383,Idle
0.003,-0.002,1.021,0.472,-2.249,1.041,Idle
0.001,-0.004,1.018,0.516,-2.275,1.531,Idle
0.003,-0.002,1.012,0.490,-2.257,1.383,Idle
0.001,-0.003,1.020,0.516,-2.205,1.409,Idle
0.003,-0.002,1.018,0.525,-2.240,1.374,Idle
0.001,-0.000,1.021,0.516,-2.214,1.391,Idle
0.002,-0.002,1.021,0.543,-2.231,1.383,Idle
0.002,-0.003,1.021,0.534,-2.214,1.400,Idle
0.002,-0.003,1.021,0.569,-2.231,1.409,Idle
0.002,0.000,1.020,0.569,-2.249,1.347,Idle
0.002,-0.003,1.018,0.516,-2.257,1.374,Idle
0.003,-0.002,1.019,0.499,-2.257,1.356,Idle
0.002,-0.002,1.019,0.516,-2.231,1.435,Idle
0.001,-0.001,1.020,0.551,-2.266,1.356,Idle
0.002,-0.004,1.019,0.534,-2.257,1.400,Idle
0.003,-0.002,1.020,0.543,-2.266,1.383,Idle
0.002,-0.001,1.018,0.534,-2.266,1.426,Idle
0.002,-0.001,1.021,0.499,-2.257,1.374,Idle
0.002,-0.003,1.020,0.534,-2.257,1.400,Idle
0.002,-0.002,1.022,0.551,-2.249,1.374,Idle
0.002,-0.001,1.021,0.525,-2.231,1.383,Idle
0.002,-0.002,1.021,0.569,-2.231,1.330,Idle
0.002,-0.003,1.019,0.507,-2.214,1.400,Idle
0.002,-0.002,1.020,0.560,-2.249,1.383,Idle
0.002,-0.001,1.018,0.507,-2.275,1.365,Idle
0.002,-0.002,1.019,0.534,-2.257,1.365,Idle
0.001,-0.003,1.018,0.516,-2.275,1.374,Idle
0.002,-0.002,1.019,0.551,-2.266,1.347,Idle
0.001,-0.002,1.019,0.551,-2.266,1.374,Idle
0.002,-0.002,1.021,0.543,-2.284,1.356,Idle
0.001,-0.002,1.019,0.516,-2.249,1.400,Idle
0.002,-0.002,1.021,0.490,-2.266,1.374,Idle
0.002,-0.003,1.020,0.499,-2.240,1.365,Idle
-0.000,0.003,1.020,0.507,-2.275,1.409,Idle
0.004,-0.007,1.020,0.507,-2.231,1.391,Idle
-0.007,-0.017,1.023,0.560,-2.301,2.030,Idle
0.001,0.006,1.019,0.472,-2.240,1.383,Idle
0.003,-0.003,1.020,0.534,-2.223,1.426,Idle
0.003,-0.006,1.019,0.534,-2.266,1.409,Idle
0.004,-0.007,1.020,0.516,-2.266,1.383,Idle
0.000,0.005,1.021,0.543,-2.231,1.400,Idle
0.001,-0.005,1.024,0.543,-2.249,1.374,Idle
0.004,-0.008,1.023,0.543,-2.231,1.418,Idle
0.001,-0.006,1.018,0.569,-2.240,1.400,Idle
0.002,-0.002,1.017,0.543,-2.223,1.391,Idle
0.005,-0.006,1.018,0.534,-2.240,1.383,Idle
0.002,-0.005,1.015,0.464,-2.301,1.383,Idle
0.002,0.004,1.021,0.543,-2.249,1.418,Idle
0.003,-0.006,1.019,0.507,-2.231,1.383,Idle
0.002,-0.008,1.019,0.551,-2.249,1.418,Idle
0.002,-0.003,1.022,0.534,-2.249,1.409,Idle
0.000,0.002,1.020,0.534,-2.249,1.426,Idle
0.004,-0.007,1.019,0.577,-2.249,1.418,Idle
0.003,-0.006,1.018,0.543,-2.257,1.356,Idle
0.001,-0.000,1.020,0.534,-2.284,1.374,Idle
0.001,0.003,1.020,0.534,-2.266,1.383,Idle
0.002,-0.005,1.019,0.551,-2.249,1.400,Idle
0.003,-0.004,1.019,0.560,-2.257,1.383,Idle
0.002,-0.001,1.019,0.507,-2.223,1.356,Idle
0.001,0.001,1.019,0.516,-2.240,1.365,Idle
0.003,-0.005,1.019,0.516,-2.284,1.409,Idle
0.002,-0.003,1.020,0.525,-2.284,1.347,Idle
0.001,-0.000,1.019,0.534,-2.257,1.356,Idle
0.002,-0.001,1.020,0.534,-2.240,1.418,Idle
0.002,-0.003,1.019,0.534,-2.240,1.418,Idle
0.003,-0.003,1.020,0.551,-2.284,1.356,Idle
0.002,-0.001,1.020,0.507,-2.240,1.356,Idle
0.003,-0.003,1.021,0.525,-2.275,1.383,Idle
0.003,-0.003,1.019,0.525,-2.223,1.365,Idle
0.002,-0.002,1.019,0.507,-2.266,1.356,Idle
0.003,-0.002,1.020,0.560,-2.205,1.383,Idle
0.003,-0.003,1.019,0.516,-2.249,1.383,Idle
0.002,-0.003,1.021,0.534,-2.240,1.409,Idle
0.002,-0.002,1.019,0.543,-2.231,1.409,Idle
0.002,-0.001,1.022,0.499,-2.240,1.391,Idle
0.004,-0.003,1.021,0.525,-2.240,1.418,Idle
0.002,-0.002,1.018,0.516,-2.266,1.391,Idle
0.002,-0.000,1.021,0.507,-2.205,1.418,Idle
0.002,-0.003,1.017,0.507,-2.266,1.374,Idle
0.002,-0.004,1.019,0.577,-2.266,1.374,Idle
0.002,-0.001,1.020,0.551,-2.231,1.374,Idle
0.001,-0.001,1.019,0.525,-2.231,1.374,Idle
0.002,-0.001,1.021,0.525,-2.249,1.365,Idle
0.003,-0.004,1.021,0.507,-2.240,1.400,Idle
0.003,-0.006,1.020,0.499,-2.214,1.356,Idle
-0.001,0.002,1.022,0.516,-2.275,1.365,Idle
0.002,-0.004,1.020,0.516,-2.240,1.444,Idle
0.002,-0.003,1.020,0.569,-2.266,1.409,Idle
0.002,-0.002,1.019,0.525,-2.257,1.365,Idle
0.002,0.000,1.019,0.499,-2.240,1.409,Idle
0.003,-0.003,1.020,0.534,-2.275,1.391,Idle
0.002,-0.003,1.020,0.543,-2.240,1.356,Idle
0.001,-0.000,1.019,0.525,-2.284,1.391,Idle
0.002,-0.002,1.021,0.543,-2.266,1.400,Idle
0.002,-0.003,1.020,0.507,-2.257,1.426,Idle
0.002,-0.001,1.020,0.551,-2.266,1.452,Idle
0.001,-0.000,1.019,0.551,-2.284,1.400,Idle
0.002,-0.003,1.021,0.499,-2.275,1.365,Idle
0.003,-0.004,1.019,0.507,-2.257,1.365,Idle
0.002,-0.001,1.019,0.534,-2.249,1.409,Idle
0.001,-0.000,1.020,0.499,-2.240,1.374,Idle
0.003,-0.003,1.020,0.543,-2.223,1.400,Idle
0.003,-0.004,1.019,0.525,-2.249,1.365,Idle
0.002,-0.001,1.020,0.490,-2.223,1.374,Idle
0.002,0.000,1.019,0.507,-2.223,1.400,Idle
0.003,-0.004,1.020,0.551,-2.249,1.418,Idle
0.002,-0.005,1.022,0.543,-2.266,1.426,Idle
0.002,0.001,1.019,0.543,-2.249,1.409,Idle
0.001,0.001,1.021,0.516,-2.240,1.383,Idle
0.003,-0.004,1.021,0.525,-2.240,1.435,Idle
0.002,-0.003,1.018,0.560,-2.257,1.435,Idle
0.000,0.000,1.020,0.516,-2.249,1.400,Idle
0.001,-0.002,1.019,0.534,-2.257,1.418,Idle
0.003,-0.004,1.019,0.534,-2.266,1.400,Idle
0.001,-0.001,1.019,0.534,-2.266,1.391,Idle
-0.000,0.000,1.017,0.525,-2.240,1.391,Idle
0.004,-0.007,1.022,0.472,-2.214,1.400,Idle
0.003,-0.003,1.021,0.516,-2.249,1.400,Idle
0.001,-0.002,1.017,0.534,-2.249,1.383,Idle
0.003,-0.001,1.021,0.481,-2.249,1.383,Idle
0.001,-0.002,1.020,0.516,-2.249,1.426,Idle
0.004,-0.002,1.020,0.516,-2.231,1.461,Idle
0.002,-0.003,1.018,0.525,-2.257,1.391,Idle
0.002,-0.004,1.018,0.516,-2.196,1.374,Idle
0.003,0.000,1.018,0.507,-2.249,1.374,Idle
0.002,-0.004,1.015,0.543,-2.257,1.435,Idle
0.001,-0.004,1.020,0.551,-2.310,1.409,Idle
0.001,-0.000,1.023,0.525,-2.266,1.426,Idle
0.005,0.002,1.034,0.586,-2.284,1.374,Idle
0.002,-0.003,1.023,0.507,-2.266,1.435,Idle
0.000,-0.003,1.010,0.516,-2.240,1.452,Idle
-0.004,-0.007,1.008,0.507,-2.231,1.400,Idle
0.001,-0.004,1.013,0.516,-2.240,1.426,Idle
0.002,-0.001,1.019,0.516,-2.249,1.409,Idle
-0.001,-0.004,1.013,0.525,-2.240,1.365,Idle
0.003,0.001,1.027,0.525,-2.275,1.426,Idle
0.001,-0.004,1.019,0.481,-2.240,1.409,Idle
0.003,-0.003,1.023,0.525,-2.231,1.383,Idle
0.000,0.004,1.019,0.464,-2.240,1.426,Idle
-0.002,-0.002,1.020,0.534,-2.240,1.374,Idle
0.003,-0.010,1.018,0.455,-2.249,1.418,Idle
-0.002,-0.009,1.014,0.525,-2.196,0.499,Idle
0.002,0.003,1.040,0.438,-2.231,0.516,Idle
0.003,-0.007,1.020,0.560,-2.240,-0.166,Idle
-0.003,-0.001,1.007,0.429,-2.249,1.102,Idle
-0.004,-0.001,1.019,0.507,-2.266,1.374,Idle
-0.001,0.002,1.016,0.516,-2.223,1.400,Idle
0.002,-0.005,1.024,0.534,-2.240,1.383,Idle
0.003,-0.003,1.022,0.560,-2.257,1.409,Idle
0.002,0.002,1.019,0.481,-2.257,1.426,Idle
0.003,-0.002,1.019,0.551,-2.266,1.409,Idle
0.002,-0.007,1.019,0.525,-2.223,1.391,Idle
0.001,0.000,1.020,0.516,-2.231,1.383,Idle
0.001,0.002,1.020,0.481,-2.223,1.347,Idle
0.003,-0.005,1.020,0.560,-2.223,1.391,Idle
0.003,-0.005,1.019,0.507,-2.257,1.418,Idle
0.001,0.002,1.020,0.525,-2.223,1.400,Idle
0.002,-0.001,1.022,0.543,-2.231,1.418,Idle
0.002,-0.005,1.018,0.560,-2.231,1.383,Idle
0.003,-0.004,1.021,0.516,-2.275,1.339,Idle
0.001,0.002,1.020,0.543,-2.284,1.409,Idle
0.002,-0.002,1.018,0.507,-2.240,1.400,Idle
0.003,-0.006,1.019,0.507,-2.249,1.400,Idle
0.001,-0.003,1.019,0.490,-2.231,1.409,Idle
0.001,-0.000,1.020,0.525,-2.205,1.383,Idle
0.002,-0.002,1.021,0.516,-2.275,1.391,Idle
0.003,-0.004,1.017,0.516,-2.249,1.374,Idle
0.001,-0.002,1.019,0.543,-2.284,1.356,Idle
0.001,0.000,1.020,0.577,-2.257,1.426,Idle
0.001,-0.001,1.019,0.481,-2.231,1.409,Idle
0.002,-0.003,1.020,0.525,-2.257,1.409,Idle
0.002,-0.001,1.020,0.516,-2.240,1.418,Idle
0.002,-0.001,1.020,0.507,-2.257,1.409,Idle
0.002,-0.002,1.021,0.481,-2.223,1.444,Idle
0.002,-0.003,1.020,0.499,-2.257,1.391,Idle
0.001,-0.001,1.019,0.507,-2.275,1.400,Idle
0.002,-0.002,1.019,0.481,-2.223,1.347,Idle
0.003,-0.005,1.021,0.481,-2.240,1.374,Idle
0.001,-0.003,1.017,0.490,-2.223,1.365,Idle
0.002,0.001,1.021,0.516,-2.257,1.374,Idle
0.002,-0.002,1.023,0.525,-2.240,1.400,Idle
0.003,-0.005,1.019,0.516,-2.249,1.409,Idle
0.001,-0.001,1.020,0.534,-2.249,1.418,Idle
0.001,-0.000,1.020,0.516,-2.240,1.383,Idle
0.003,-0.004,1.019,0.560,-2.275,1.356,Idle
0.003,-0.003,1.019,0.516,-2.249,1.418,Idle
0.000,-0.000,1.018,0.472,-2.249,1.418,Idle
0.002,-0.001,1.019,0.560,-2.240,1.383,Idle
